Type,ID,Title,S1,S2,S3,S4,S5,S6,S7,S8,Sentence
P0281,1,十大低糖水果排行榜,发胖,,,,,,,,又想吃水果，又担心发胖，还要关心自己的血糖高低，那有哪些水果是低糖的 呢
P0888,2,肚子越大，脑子越小？肚子大可能“藏”着这些风险,腹型肥胖,腹型肥胖与高血压关系密切,,,,,,,尤其是腹型肥胖与高血压关系密切
P1010,3,身材决定寿命？研究发现：活过80岁的老人，身材大多有两个特征,微胖,微胖更长寿,,,,,,,为什么微胖更长寿呢
P0921,4,“胖死”成真！欧洲人拿什么拯救失控的体重…连“小瘦子”法国人都“膨胀”了？,比较“肥美”,“丰乳肥臀,性感女神们,让人过目不忘、垂涎不已,,,,,在多数人的印象中，欧洲人比较“肥美”，“丰乳肥臀”的性感女神们更是让人过目不忘、垂涎不已
P1015,5,这4 种食物，“自带”黄体酮，女人 45 岁后要多吃，利于皮肤有弹性,热量高,长胖,,,,,,,3、黑米 现在很多人都不喜欢吃米饭，一方面 是担心热量高长胖，另一方面也是担心血 糖升高，但是女性不能不吃碳水，所以把 白米饭切换成黑米就是很好的选择
P0338,6,吴秀波退圈5年后称被骗破产 身材发福气质不再,身材发福,大腹便便,,,,,,,身材发福，大腹便便，穿着依然时髦得体
P1059,7,“重”视体重，“轻”松生活：肥胖问题我们说清楚,放任,长胖,,,,,,,正确的做法是：从小建立健康饮食习惯和规律运动，而不是放任“长胖”
P0885,8,职场有毒！24岁华人妹子上班1年增重40斤！辞职后的变化震惊全球网友…,城市化与人口流动,发胖,,,,,,,城市化与人口流动正是导致中国上班族发胖的两大因素
P0568,9,"最严重的青少年肥胖爆发:中国胖娃3000万,速度罕见",肥胖孩子,,,,,,,,在刘云曼的印象中，内分泌科、儿保科就有肥胖孩子，不过前来就诊的，主要都是学龄 儿童
P1043,10,那些一胖就胖肚子的人，后来都怎么样了？,腹部赘肉堆积,表层危害,代谢迟缓、内脏机能异常，肝功能衰退以及引发心脏病、高血压等心脑血管疾病,,,,,,过多的内脏脂肪会让腹部赘肉堆积，但这只是表层危害，它还会让代谢迟缓、内脏机能异常，肝功能衰退以及引发心脏病、高血压等心脑血管疾病
P1047,11,郑爽近照曝光:身材发福 穿名牌染黄发变精神小妹,变胖,,,,,,,,从郑爽变胖来看，也 间接辟谣了“天生瘦”体质的说法，说明这些标签只不过为了明星人设服务，退圈就崩了
P0453,12,少女成長的轉折點, 过胖,"导致少女月经异常,甚至引起月经不来",,,,,,,"少女成长的转折点 过胖或过瘦也都是导致少女月经异常,甚至引起月经不来的常见原因"
P0048,13,200斤女孩为美狂瘦至90斤 ！要么瘦，要么死,短期内的暴肥,,,,,,,,她也尝试过ALL IN（一种治疗ED的饮食方法，即想吃就吃，想吃什么吃什么），但身体完全承受不了过载的营养，短期内的暴肥和水肿更是折磨
P1009,14,身材决定寿命？研究发现：大腿粗、屁股大的人，可能更长寿,中心型肥胖,,,,,,,,4、腰臀比 腰臀比（腰围/臀围）能反映中心型肥胖的程度
P0658,15,潘玮柏大走钟「胖到看不见脖子」 网笑：应该改名叫「潘玮厚」,他嘴怎么这么馋,他的脖子呢,,,,,,,」、「来香港吧，线在这款比较吃香」、「他嘴怎么这么馋」、「他的脖子呢
P0731,16,"澳洲超市最受欢迎的超级水果, 竟能解决困扰无数人的问题! $2就能买到",腹部肥胖,,,,,,,,这里腹部肥胖有明确标准，女性腰围达到或超过35英寸，男性达到或超过40英寸
P1059,17,“重”视体重，“轻”松生活：肥胖问题我们说清楚,女性更容易胖,是因为激素吗,,,,,,,❓问：女性更容易胖，是因为激素吗
P0087,18,一个月只吃赛百味，小哥成功减肥：做对这些，快餐瘦身比吃药快8倍,容易发胖,碳酸饮料，饼干，白面包...,,,,,,,无论如何，减肥的首要目的，应该是健康， 而弗里亚斯也通过肉测把容易发胖且没营养的选项给大家列出来了：碳酸饮料，饼干，白面包...
P1098,19,韩庚演唱会被嘲吃相难看！脸僵像王阳身材像黄渤，舞都跳不动了,壮硕发福的身材,,,,,,,,只能说他现在壮硕发福的身材再加上这套黑西装，越来越像黄渤了，有种公司团建 聚会，小组长喝多了，KTV给老板露一手的感觉
P0949,20,被傳復胖 賈玲生日照曝光,复胖的迹象,,,,,,,,贾玲一点也没有复胖的迹象
P0192,21,侮辱or玩笑？华人也在用的“修图神器”引发争议，已紧急下架,变胖,,,,,,,,大家拿自己的胖瘦对比图，来激励或者是恐吓自己，不要变胖
P0870,22,【美女】163cmD杯女私教，身材超100分，根本顶不住啊,微胖,极品身材,,,,,,,网友：这大概就是微胖中的极品身材
P1076,23,"阿娇2个月内体重如过山车,最新巡演体重失控又复胖",胖成了现在这样,着实令人意外,,,,,,,但这才过去没多久的时间，阿娇就胖成了现在这样，着实令人意外，不知道是不是和最近的小三风波有关
P0100,24,七成高血压归因于“胖”！这种肥胖类型最危险……,腰粗,威胁,血压升高,,,,,,门诊中，不少患者因血压升高前来就诊，寻找病因，其中不少人认为是生活工作压力大导致的，其实肥胖、腰粗的威胁更大
P0867,25,【美女】35岁翘臀姐姐，竟泡走26岁小鲜肉，这“水蜜桃“身材我沦陷了...,发胖,各种嫌弃和嘲讽,,,,,,,经历发胖＋抑郁的她，迎来的不是老公的安慰和鼓励，而是各种嫌弃和嘲讽
P0643,26,海航管控空姐体重:超重10%立即停飞 律师:违法,体型偏胖,就业歧 视,剥夺…空乘正常工作的权利,丝毫没有尊重,,,,,“如果纯粹因为视觉审美的考虑就剥夺体型偏胖的空乘正常工作的权利，这绝对是就业歧 视，出台、执行这样的规定对于作为劳动者的空乘，丝毫没有尊重
P0145,27,中年因“发福”变“大妈”？网友：不同阶段不同美，别身材焦虑,中年因‘发福,’变‘大妈’,,,,,,,“中年因‘发福’变‘大妈’
P1063,28,重马胖女孩”意外出圈 曾是8块腹肌“追风少女”,胖女孩,,,,,,,,”“重马胖女孩”也因此迅速走红，她的社交媒体账号也被挖出，名叫“健身女货在路上”
P0335,29,吴奇隆发福变油腻 与《英雄本色》女主亲如母子,发福,发福,肚腩颇为突出,肉眼可见胖好多,肚子很明显,胖了一点,肉眼可见的发福,发福了,其实在今年7月，吴奇隆接连被网民野生捕获，当时被拍下疑似凸腩发福的照片，事后照片在网络疯传，因发现他的肚腩颇为突出，与过往结实身材有很大出入，有网民留言：肉眼可见胖好多、肚子很明显、虽然胖了一点，但是还是很帅气的、肉眼可见的发福，要注意身材管理呀、吴奇隆发福了
P0041,30,"58岁王祖贤加拿大做义工被偶遇! 发福走样, 颜值暴跌? 网友吵翻了…",身材已经走样,发福了不少,侧面看都很臃肿的样子,,,,,,有网友感叹，从法会照片来看，58岁王祖贤的身材已经走样，发福了不少，侧面看都很臃肿的样子
P1035,31,逆龄美貌? 75岁王薇薇穿白裙出席颁奖会引发争议,稍微胖一点,就会被批评,,,,,,,有人质疑：“为何瘦可以被称赞，而稍微胖一点就会被批评
P1009,32,身材决定寿命？研究发现：大腿粗、屁股大的人，可能更长寿,苹果型”肥胖,男性步入中年时期时较为多见,与生活方式之间有直接关系,,,,,,这类肥胖被称之为“苹果型”肥胖，在男性步入中年时期时较为多见，与生活方式之间有直接关系
P0871,33,【美女】对不起！男人眼中的微胖，长这样,女生微胖的身材,福气的象征,微胖女生,更讨长辈的欢心,,,,,4、女生微胖的身材是福气的象征，因此微胖女生更讨长辈的欢心
P0406,34,奇葩！就因男友喜欢胖子！澳洲美女模特增肥至357斤！网友们都替她急死了！,长胖,因为杰夫喜欢你现在这样,,,,,,,主持人还提了一个所有人都好奇的问题：我们知道，你之所以会长胖，是因为杰夫喜欢你现在这样
P0625,35,汪峰带森林北在新疆过七夕，为她买珠宝男友力十足,幸福肥,,,,,,,,汪峰的状态越来越好了，不仅人变年轻了还有幸福肥，谈了一年还如此腻歪，看来 森林北有望转正，也祝他们早日修成正果
P0055,36,2025体重新标准公布！100斤都算超重？,长胖了,,,,,,,,周末回家的时候就被楼下的嬢嬢说长胖了...但其实，我的体重是没有变化的
P0524,37,拒绝中年“发福”，从这12件小事入手，生活化“减脂”！,中年“发福”,,,,,,,,拒绝中年“发福”，从这12件小事入手，生活化“减脂”
P1009,38,身材决定寿命？研究发现：大腿粗、屁股大的人，可能更长寿,苹果型”肥胖人群,会伴有糖尿病、高血压、高血脂，以及高尿酸血症等代谢异常,部分人群会罹患心血管疾病,,,,,,此外，“苹果型”肥胖人群多还会伴有糖尿病、高血压、高血脂，以及高尿酸血症等代谢异常，其中还有部分人群会罹患心血管疾病
P1009,39,身材决定寿命？研究发现：大腿粗、屁股大的人，可能更长寿,胖肚,胖腿,,,,,,,参考资料： [1]《为啥总是男人胖肚，女人胖腿
P1094,40,青少年减重别盲目：“饿瘦”不可取，“养瘦”才科学！,喝水都长肉,无奈,,,,,,,所以，阳光+牛奶+适度补剂，比靠“喝水都长肉”的无奈要聪明多了🌞🥛
P0528,41,挺住，别躺平！30岁后的男人，减掉肚腩才能赢未来,烦人的,大肚子,,,,,,,2024年，不再逃避，减掉烦人的大肚子，从此让健康与自信伴随你每一天
P0658,42,潘玮柏大走钟「胖到看不见脖子」 网笑：应该改名叫「潘玮厚」,脖子与下巴乍看之下紧黏在一起,,跳舞显得 笨拙,,,,,,潘玮柏近日在苏州举办演唱会，有眼尖网友发现，他在南京场时还有明显下颚线，不料到了苏州 场时脖子与下巴乍看之下紧黏在一起，而变胖的潘玮柏也因为跳舞显得 笨拙
P1052,43,郭碧婷复工状态引热议 身材发福越来越像向太,增肥的视觉效果,身材略微丰满,更加圆润,,,,,,从外观来看，裙身的造型很有特点，叠加与不规则的设计元素让这款小裙子充满潮流 感，但很容易产生增肥的视觉效果，会让身材略微丰满的女生看起来更加圆润
P0373,44,在澳洲，胖是可以被原谅的！,一来澳洲就会,变胖,,,,,,,为什么一来澳洲就会变胖呢
P0873,45,​美女微胖妹子腿粗到爆，却俘获几十万直男，网友：这身材致命,丰满,美,“胖”女孩,,,,,,用节食得到的身材虽然纤细 但也充满着病态的虚弱 于是她决定终止节食计划 在友人的建议下 选择健身来让自己的身体重新 焕发健康的活力状态 说到做到的Grace 每周都会坚持去健身房 进行3~4次的力量训练 为了让身材更加的紧致有型 每次训练不到力竭绝不停歇 好看的翘臀都不是凭空而来的 Grace在健身房最常做的就是臀腿训练 对自己高标准严要求的她 每一个训练动作都力求完美 以达到最大限度的刺激肌肉生长 一个人的健身终究有些许孤独 每当Grace觉得太累难坚持的时候 就会叫好友一同前往健身 大家相互辅助相互鼓励相互监督 只为让自己变得更加优秀 Grace除了热爱撸铁之外 还是一名瑜伽爱好者 在一天的忙碌结束后 她都会选择做一套瑜伽 在放松身心的同时 也很好地锻炼了身体的柔韧性 在日复一日的挥洒汗水中 初尝了健身给身体带来变化的喜悦后 Grace对于健身愈加地积极和主动 没有什么事情是一蹴而就的 唯有坚持才能让人脱胎换骨 天气晴朗的时候 Grace喜欢去户外骑自行车 放松心情的同时 也完成当天的运动消耗量 每天早上 她都会去海边跑上几个来回 一边呼吸着新鲜空气 一边沐浴着温暖的阳光 开启美好的一天 跑完步后再来一组拉伸 在缓解肌肉紧张的同时 还能有效地促进肌肉的生长 为了更好地保持身材 Grace的饮食习惯也发生了改变 放弃了高油高脂的食物 吃起了营养均衡的健身餐 晨跑结束之后 早餐是美味健康的燕麦酸奶杯 午餐时遵循着 高蛋白、低碳水的饮食法则 晚餐通常都以沙拉为主 清爽、健康、不给肠胃 增加太多负担 在健身和饮食的双重坚持下 Grace的体重虽然重返130斤 但整个身形比之前更加的紧致健美 女性的曲线魅力展露无遗 如今的她不再在乎 他人的闲言碎语 重拾自信的她 真正体现了女生的阳光美和丰满美 对于体重过分在意 并用极端的方式去对待自己 并不能让你获得想要的美丽 唯有健身和健康的饮食 才能让你变成越来越好的自己 这样的“胖”女孩 你喜欢吗
P0047,46,87岁范曾找到了，37岁娇妻徐萌已怀孕生子,看起来胖了一大圈,和以往的好身材不一样,,,,,,,徐萌看起来胖了一大圈，和以往的好身材不一样，她穿着月子服，是一个产后的状态，看起来已经生完了孩子
P1009,47,身材决定寿命？研究发现：大腿粗、屁股大的人，可能更长寿,颈部皮下脂肪过多,,,,,,,,3、脖围 男性颈围应<38cm、女性<35cm，如果超过这个数值则说明颈部皮下脂肪过多
P0085,48,一个人胖不胖，看“圆度指数”，比 BMI 更靠谱,明显的大肚腩,,,,,,,,另外还有一类人会被 BMI 指数定义为体重正常甚至还偏低，他们远看瘦瘦的，侧面看瘦长的躯干上却挂着明显的大肚腩，一测体成分内脏脂肪超标，这类人就是“瘦瘦的高脂人群”，是 BMI 指数测不出的漏网之鱼
P0357,49,国家喊你减肥真相曝光：中国已成超重大国，胖下去后果太严重,腹型肥胖,激素影响,囤积内脏脂肪,,,,,,研究显示，即使BMI正常，14%的人仍属腹型肥胖，尤其是男性，因激素影响更容易囤积内脏脂肪
P0251,50,减肥不能碰“瓜子”？坦白说：不想腰上长赘肉，3种食物莫要贪吃,腰上长赘肉,贪吃,,,,,,,02坦白说：不想腰上长赘肉，3种食物莫要贪吃 1. 奶茶 奶茶的推出直接赢得了人们的喜爱，大人小孩都喜欢喝，但是这样一杯奶茶所含的热量极高，相当于两碗米饭的热量
P1009,51,身材决定寿命？研究发现：大腿粗、屁股大的人，可能更长寿,与多种疾病的发生之间有之间关系,,腹部型肥胖,需要警惕,,,,,肥胖与多种疾病的发生之间有之间关系，尤其是腹部型肥胖的人群更加需要警惕，对此要引起足够的重视，积极减重
P1008,52,身体胖寿命短？医生却说：恭喜你！这2个地方“胖”是好事！,发胖了,从肚子开始发胖,腰越粗….从而引发各种疾病,,,,,,人一旦发胖了，大多从肚子开始发胖，而腹部有很多重要器官，腰越粗，则代表腹部脂肪越多，从而引发各种疾病
P0441,53,对比41岁贾玲和沈腾老婆后，才发现压力胖和幸福肥的差距一目了然,怎么胖成这样了,,,,,,,,当网友们看到王琦的照片的时候，统一都惊呆了：王琦怎么胖成这样了
P0918,54,胖一点的老人和瘦一点的老人，谁更长寿？调查55万人后给出答案,微胖,更长寿,,,,,,,》.人卫健康.2023-01-18 [2] 《50多万人研究发现：“微胖”的人更长寿
P1076,55,"阿娇2个月内体重如过山车,最新巡演体重失控又复胖",体重开始不受控制,出去吃夜宵,吃成了,阿爆,胖到不敢认,,,,而阿娇也就是在那个时候体重开始不受控制，因为余衍隆总带她出去吃夜宵，时间一久，阿娇就吃成了“阿爆”，当时阿娇上浪姐之前 胖到不敢认，后来在节目里高强度训练，阿娇才瘦了20斤
P0247,56,冯巩67岁大寿 贾玲搂恩师合影 复胖身形引关注,反弹,再正常不过,,,,,,,当然，贾玲用十足的毅力瘦下来，即使后来体重有反弹也真的再正常不过
P0179,57,体重120斤以上的女人，别再穿阔腿裤了！换成这3种打扮更时尚显瘦,看起来更胖,且更矮,,,,,,,实际上，体重超过120斤的女性穿阔腿裤不仅对显瘦没有帮助，反而会因为阔腿裤的视觉膨胀效果让女性穿得看起来更胖且更矮
P0108,58,不是错觉：过了这个年纪，长胖真的更容易,年纪越大,人就越容易长胖,,,,,,,为什么年纪越大，人就越容易长胖呢
P0205,59,【健康知识】胖哪儿都不能胖这里！,腰腹赘肉,,,,,,,,随着体脂率的下降，你的腰腹赘肉也会逐渐消失，腰围也会慢慢下降
P0902,60,肥胖和代谢有关？每天做对这几件事，代谢变好人也轻盈！,发胖了,,,,,,,,代谢健康的人，食物更容易转化为能量而非脂肪，自然不易发胖
P0657,61,潘帅变潘叔？44岁潘玮柏中年发福不敢认，胖至200斤老10岁，网友：快减肥,脸肿,沦为滑稽,,,,,,,虽然很难抵御美食的诱惑，但出道当歌手以后潘玮柏还是很自律，尤其每当要发新 歌拍MV，都会集中减肥一轮，以免上镜扮酷的样子因为脸肿沦为滑稽
P0770,62,生活養生小妙招,腹型肥胖,,,,,,,,"肚脐放一物 入秋除湿气 入秋后,昼夜温差大,体内湿气可能会加重,容易出现便秘、乏力、倦怠、腹型肥胖等状况"
P0257,63,"减肥还能“健脑”!体重减少1%,大脑年轻了9个月",特别容易反弹,比以前还胖,,,,,,,一旦恢复正常饮食，特别容易反弹，且很可能比以前还胖
P0285,64,千亿儿媳！54岁李嘉欣高调宣布复出！传开工价5000万,胖一点,状态反而更好了,,,,,,,对此，不少网友觉得李嘉欣之前太瘦了，如今胖一点状态反而更好了
P0303,65,发胖真有“分界线” 从这个年龄开始代谢急转直下,长胖,过量能量摄入,,,,,,,所以，若想有效预防长胖，首要之举便是改变能量收支状况，杜绝过量能量摄入，也就是我们常说的要 “管住嘴”
P0557,66,日本贵族胖哥减肥逆袭成最帅校草，人生刚开挂却意外被捕！,胖子,,,,,,,,不过，让所有人没有想到的是这竟然也是他胖子之路的开始
P0039,67,56岁周立波近况曝光，豪宅内吃大餐老态尽显，发福秃顶撞脸潘长江，6年美国生活变化大,看起来比之前胖了一些,,,,,,,,如今已经56岁的周立波，看起来比之前胖了一些，脸上的法令纹更加凸显，看起来尽显老态
P0345,68,哪种体型的人更长寿？研究发现：这个部位“细”点好！,身材微胖,更利于长寿 ,死亡风险最低,,,,,,研究发现了2个特点： 特点一：身材微胖更利于长寿 体重指数（BMI=体重÷身高的平方）每增加1千克/平方米，全因死亡风险降低 4.5%，体重指数在28千克/平方米左右时，死亡风险最低
P0271,69,别再嘲沈腾老婆胖了，这5位男星都娶了“胖老婆”，却个个很宠妻,发福很多,结婚生子后,整个 人变得圆滚滚的,不影响….宠爱,,,,,王惠年轻时曾是唱京韵大鼓的，长相不俗，不过结婚生子后也开始发福很多，整个 人变得圆滚滚的，但不影响郭德纲对她的宠爱
P0888,70,肚子越大，脑子越小？肚子大可能“藏”着这些风险,腹型肥胖,中心型肥胖,内脏型肥胖,显 得胖,,,,,"这种肥胖类型被称为腹型肥胖,也叫中心型肥胖或内脏型肥胖,而四肢相对于腹部并不会显 得胖"
P0888,71,肚子越大，脑子越小？肚子大可能“藏”着这些风险, 肚子大,“藏”着这些风险,,,,,,,② 肚子大“藏”着这些风险
P0357,72,国家喊你减肥真相曝光：中国已成超重大国，胖下去后果太严重,腰围太大,体重超标,,,,,,,同志们，腰围太大，体重超标，有些还得了慢性病
P0274,73,"别超重!体重如果达到这个数,等于大脑早衰了12年",胖人,,,,,,,,究竟有没有健康的胖人
P0698,74,澳洲如此“划分阶层”：你的身材竟然决定了你的阶级！,十分肥胖,,,,,,,,也有的十分肥胖，喜爱快餐
P0480,75,怎么减掉15斤赘肉？学习8个实用方法，让身材瘦下一圈,体型偏胖,暴饮暴食,,,,,,,"体型偏胖的人怎么减肥?减肥需要方法,不能盲目节食,否则很容易导致暴饮暴食,减肥失 败"
P0347,76,唐代以胖为美？从唐代服饰探究其真假,圆脸,丰腴身”,丰腴美,,,,,,盛唐气象养出了“圆脸丰腴身”，而唐朝的审美并没有仅仅局限于盛唐时期的“丰腴美”
P0502,77,成年女性逾半腰圍過粗 醫籲母親節用擁抱關心健康,人工生殖求子期间却,开始发福,生下女儿后更所有心思都在孩子身上,新陈代谢变慢,随便稍微吃顿丰盛一点的,小腹凸出,,,演员赵小侨分享，自己以前怎么吃都不会胖，但人工生殖求子期间却开始发福，生下女儿后更所有心思都在孩子身上，直到感受到新陈代谢变慢，即使试过晚间空腹、积极运动等方法，都没有用，随便稍微吃顿丰盛一点的，就会小腹凸出
P1008,78,身体胖寿命短？医生却说：恭喜你！这2个地方“胖”是好事！,大腿粗,宝藏身材,腿粗,而是一件好事,长寿候选人,,,,现如今，越来越多的研究证实，大腿粗才是“宝藏身材”，对身体来说腿粗反而是一件好事，或是长寿候选人
P0007,79,5 个专门胖肚子的坏习惯，你可能天天在做,生活中很多小事,肚子加速变大,超标的「内脏脂肪」,对健康威胁最大,,,,,生活中很多小事才是让你肚子加速变大的「罪魁祸首」 人体主要有两大脂肪仓库：皮下脂肪和内脏脂肪，对健康威胁最大的是超标的「内脏脂肪」
P0681,80,澳洲16 岁妹子只喝奶昔和软饮料从不喝水 胖成一座山，然后又狂瘦65kg 减掉 半个自己重生变女神,像吹气球一样胖了起来,,,,,,,,就这样，她就像吹气球一样胖了起来，一下子体重就涨到了135KG
P0085,81,一个人胖不胖，看“圆度指数”，比 BMI 更靠谱,腰围较大,,,,,,,,比如，对于一些腰围较大的健身人群，BRI 指数还是会偏高（比如大级别举重运动员等），但这并不意味着他们存在更高的慢病风险
P0025,82,42天瘦25公斤！武汉31岁“肥仔医生”逆袭成4冠健美先生,轻度脂肪肝,,,,,,,,登上健美舞台前，身高1米82的吴天根体重97.5公斤，曾确诊轻度脂肪肝，为了完成快速减脂和增肌塑形的目标，他为自己制定了「6小时睡眠＋2小时健身」的计划
P0723,83,澳洲研究：女性腰部有点赘肉，可降低骨折危险！身体上的这6个“缺陷”反而让你更健康,更不容易患上高血压,,,,,,,,尤其是 在超重和肥胖人群中，这种关联尤为明显：男性腿围大于 55 厘米、女性腿围大于 54 厘米，更不容易患上高血压
P0459,84,巨石强森变“鹅卵石”:大肌霸的诸神黄昏,畸形肥胖,身体奇观,猎奇密码,,,,,,03：靓丽与畸形 畸形健美之外，畸形肥胖同样是“身体奇观”的猎奇密码
P0337,85,吴某凡监狱生活被曝！胖了20斤，当上小班长，天天创作正能量歌曲！粉丝组织劫狱！网友：电影都不敢这么演,发福,颜值….的摧残,,,,,,,那么小悠不禁感叹：原来颜值再高也经不住发福的摧残
P0158,86,乌龙胖?贾玲上镜胖十斤 网友晒出对比照,圆润,亲和力满格的喜剧形象,,,,,,,自瘦身以来，舆论场就形成微妙拉锯：有人觉得瘦后的她“幽默感似乎减弱了”、“像换了一个人”，格外怀念她圆润时期亲和力满格的喜剧形象
P0871,87,【美女】对不起！男人眼中的微胖，长这样,微胖身材,不可否认….魅力十足,,,,,,,不可否认，拥有微胖身材的女生，魅力十足
P0430,88,完蛋！澳洲科学家刚刚找到肥胖的终极原因！摸摸脑袋一切都懂了,大胖子,,,,,,,,白色脂肪就是让你变成大胖子的罪魁祸首
P0883,89,《老情歌》吕方暴肥模样曝光 「胖到看不见脖子」身材大走钟,身形明显肿了一大圈,与过往清秀帅气模样相比，根本天差地远,,,,,,,如今将重心转至家庭的他，鲜少在萤光幕前曝光，没想到 近来出席拼盘演唱会时，被发现身形明显肿了一大圈，与过往清秀帅气模样相比，根本天差地远
P0153,90,为何不瘦反胖？最容易犯的四个错误减肥习惯，你中招了吗？,过度进行有氧运动,越运动越胖,,,,,,,过度进行有氧运动，容易造成肌肉内储存的脂肪变多，从而越运动越胖
P0100,91,七成高血压归因于“胖”！这种肥胖类型最危险……,体重飙升,对于健康的伤害不言而喻,胖，似乎变得越来越普遍,,,,,,体重飙升对于健康的伤害不言而喻，不少地方开设“肥胖专科门诊”则从侧面印证：胖，似乎变得越来越普遍
P0430,92,完蛋！澳洲科学家刚刚找到肥胖的终极原因！摸摸脑袋一切都懂了,一身肥肉,,,,,,,,找对一身肥肉的罩门，才是王道
P0867,93,【美女】35岁翘臀姐姐，竟泡走26岁小鲜肉，这“水蜜桃“身材我沦陷了...,身材臃肿,阿姨,,,,,,,"幸运的是，她的努力没有白费， 从86公斤到47公斤，她甩掉了39公斤的肉， 从身材臃肿的""阿姨""，蜕变为一个性感小腰精"
P0084,94,"一个不吃晚饭的人,是怎样养成「易胖体质」的?",不吃晚饭,易胖体质,,,,,,,《生命时报》综合多位专家观点，告诉你不吃晚饭是如何养成“易胖体质”的
P1032,95,逆轉民眾代謝症候群 8成腰粗或肥胖民眾 參加計畫後超過5成有改善,腰围过粗,腰围过粗,,,,,,,8成腰围过粗或肥胖，接受管理后5成以上有改善 代谢症候群是三高（血压偏高、血糖偏高、血脂偏高）加二害（腰围过粗、好的胆固醇不足），5项中符合其中3项则代表有代谢症候群
P0303,96,发胖真有“分界线” 从这个年龄开始代谢急转直下,增加疾病的风险,身材变得臃肿,,,,,,,因为过多的脂肪会增加疾病的风险，也使我们的身材变得臃肿
P0303,97,发胖真有“分界线” 从这个年龄开始代谢急转直下,年纪大了,容易长胖,,,,,,,02 为什么年纪大了容易长胖
P1028,98,迪丽热巴生子风波:网友扒变化图 浮肿变胖超半年,浮肿 变胖了许多,莫名,,,,,,,掐指一算，早在2023年年初，热巴就卷入了未婚生子的风波，网友扒出她一系列身材变化图，发现一向身材管理在线的热巴莫名浮肿 变胖了许多，还被拍到多次用胳膊遮掩小腹 偏偏被曝未婚生子阶段，热巴正好超半年时间没有进组了，更是引发了网友的怀疑，有人直接把隐孕的赵丽颖、张碧晨和热巴放在一起 比较，质疑她们有一阶段的体态存在相似之处
P1059,99,“重”视体重，“轻”松生活：肥胖问题我们说清楚,胖一点,全球范围的健康危机,,,,,,,别小看这些变化，肥胖可不是单纯的“胖一点”，它正在悄悄演变为一场全球范围的健康危机
P0271,100,别再嘲沈腾老婆胖了，这5位男星都娶了“胖老婆”，却个个很宠妻,身材发福,感情都 很好,,,,,,,除了沈腾之外，娱乐圈也有几位男星的老婆虽然身材发福，但他们和老婆的感情都 很好
P0273,101,"别看潘粤明现在胖若两人,顶顶跟他发福前一模一样",面部…被赘肉占了地盘,显圆显宽,,,,,,,眼皮单、眼泡肿，肉鼻没型，法令纹“烙印”在鼻翼两侧，年龄感呼之欲出，面部平整度略差，一旦被赘肉占了地盘，便显圆显宽
P0321,102,吃播鼻祖减肥200斤轰动全网：攒了两年的假视频骗过所有网友，只为整个大活？？！,急速变胖,甚至到了要戴呼吸机的程度,被列为了残疾人士,出门也得靠电动车代步,他还是在不停地吃,,,,（鳄梨急速变胖）甚至到了要戴呼吸机的程度：（鳄梨使用呼吸机继续吃播）出门也得靠电动车代步，他还说自己已经被列为了残疾人士……（移动要靠代步车）但即便这样，他还是在不停地吃
